country,year_1914,year_1915,year_1916,year_1917,year_1918,year_1919,year_1920,year_1921,year_1922,year_1923,year_1924,year_1925,year_1926,year_1927,year_1928,year_1929,year_1930,year_1931,year_1932,year_1933,year_1934,year_1935,year_1936,year_1937,year_1938,year_1939,year_1940,year_1941,year_1942,year_1943,year_1944,year_1945,year_1946,year_1947,year_1948,year_1949,year_1950,year_1951,year_1952,year_1953,year_1954,year_1955
Botswana,33.6,33.6,33.6,33.6,10.9083229,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,36.2458,38.8916,41.5374,44.1832,46.82899999999999,47.037,47.451,47.863,48.273999999999994,48.684
Brazil,31.977959999999996,31.97776667,31.97757333,31.97738,26.97819043,31.97699333,31.9768,31.97912,31.981440000000003,31.983759999999997,31.986079999999998,31.9884,31.99072,31.99304,31.995359999999998,31.99768,32.0,32.464071999999994,32.928144,33.392216,33.856288,34.32036,34.784432,35.248504,35.712576,36.176648,36.64072,37.772576,38.904432,40.036288,41.168144,42.3,43.848,45.396,46.943999999999996,48.492,50.04,50.28,50.763000000000005,51.248000000000005,51.736999999999995,52.23
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,31.31015385,32.01353846,32.71692308,33.42030769,27.70640822,34.82707692,35.53046154,36.23384615,36.93723077,37.64061538,38.344,39.04738462,39.75076923,40.45415385,41.15753846,41.86092308,42.56430769,43.26769231,43.97107692,44.67446154,45.37784615,46.08123077,46.78461538,47.488,48.19138462,48.89476923,49.59815385,50.30153846,51.00492308,51.70830769,52.41169231,53.11507692,53.81846154,54.52184615,55.22523077,55.92861538,56.632,56.934,57.54,58.148,58.76,59.373000000000005
Bulgaria,43.95,44.02222222,44.09444444,44.16666667,33.71592767,44.31111111,44.38333333,44.45555556,44.52777778,44.6,44.83333333,45.06666667,45.3,46.05,46.8,47.55,48.3,48.8,49.3,49.8,50.3,50.8,51.3,51.8,52.028,52.256,52.483999999999995,52.711999999999996,52.0,51.5,50.0,52.0,53.6,54.08,55.79,57.92,61.39,60.63,59.6,64.14,64.4,64.81
Burkina Faso,29.2,29.2,29.2,29.2,11.29283788,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.3564,29.5128,29.6692,29.8256,29.982,30.224,30.706999999999997,31.184,31.658,32.126999999999995
Burundi,31.5,31.5,31.5,31.5,12.18234224,31.5,31.5,28.0,24.5,31.5,31.5,28.0,26.0,24.5,26.0,26.0,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,30.1,17.5,31.5,32.8852,34.2704,35.6556,37.0408,38.426,38.578,38.881,39.183,39.483000000000004,39.783
Cambodia,35.0,35.0,35.0,35.0,22.42884966,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,33.6,33.5,33.4,31.5,28.0,35.0,36.19475,37.3895,38.58425,39.779,39.912,40.161,40.376999999999995,40.56,40.711
Cameroon,28.75,28.75,28.75,28.75,5.661210662,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,30.5738,32.3976,34.2214,36.0452,37.869,38.029,38.358000000000004,38.703,39.065,39.444
Canada,53.863448,54.314384,54.765319999999996,55.21625600000001,47.16996724,56.118128000000006,56.569064000000004,57.02,57.02,57.02,58.83,59.31,57.99,58.68,58.57,57.97,58.95,60.36,61.43,62.36,62.77,62.49,62.72,61.35,63.31,63.74,64.01,63.76,64.7,64.61,65.35,66.33,66.53,66.78,67.33,67.65,68.28,68.55,68.75,69.13,69.99,70.05
Cape Verde,33.8,33.8,33.8,33.8,13.07184659,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,34.7334,35.6668,36.6002,37.5336,38.467,39.4004,40.3338,41.2672,42.2006,43.13399999999999,44.0674,45.0008,45.9342,46.8676,47.801,47.865,47.996,48.13,48.266000000000005,48.403999999999996
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,30.0,30.0,30.0,30.0,11.602230699999998,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.6525,31.305,31.9575,32.61,32.818000000000005,33.233000000000004,33.646,34.056999999999995,34.465
Chad,30.9,30.9,30.9,30.9,18.09718107,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,31.831,32.762,33.693000000000005,34.624,35.555,35.68,35.931999999999995,36.186,36.444,36.704
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.516,68.714,69.09,69.425,69.72,69.97399999999999
Chile,32.02,32.08,32.14,32.2,28.27467288,31.96,31.84,31.72,31.6,32.68,33.76,34.84,35.92,37.0,37.34,37.68,38.02,38.36,38.7,38.78,38.86,38.94,39.02,39.1,40.08,41.06,42.04,43.02,44.0,44.78,45.56,46.34,47.12,47.9,50.04533333,52.19066667,54.336000000000006,54.445,54.669,54.909,55.162,55.431000000000004
China,32.0,32.0,32.0,32.0,22.40952077,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.36,25.65,33.08,29.85,33.8,34.2,34.6,35.0,35.4,35.8,36.2,34.0,33.86343174,34.11343174,34.36343174,34.0,32.0,29.0,35.0,37.0,38.5,39.6,40.1,40.6,41.58988,42.57976,43.56964,44.55952,46.4656,48.02216
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,32.0,32.0,32.0,32.0,28.279749100000004,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.57515,33.1503,33.72545,34.3006,34.87575,35.4509,36.02605,36.6012,37.47673333,38.35226667,39.2278,40.10333333,40.97886667,41.8544,42.94283333,44.03126667,45.1197,46.20813333,47.29656667,48.385,48.989,50.157,51.246,52.256,53.187
Comoros,32.1,32.1,32.1,32.1,12.41438685,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,33.7,35.3,36.9,38.5,40.1,40.249,40.553000000000004,40.872,41.20399999999999,41.55
"Congo, Dem. Rep.",31.6,31.6,31.6,31.6,9.053551581,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,32.2742,32.9484,33.6226,34.2968,34.971,35.6452,36.3194,36.9936,37.6678,38.342,38.531,38.899,39.244,39.568000000000005,39.869
"Congo, Rep.",32.7,32.7,32.7,32.7,12.64643147,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,34.485,36.27,38.055,39.84,41.625,42.013000000000005,42.784,43.548,44.303999999999995,45.052
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,35.1,35.1,35.1,35.1,31.02896418,35.1,35.1,35.81,36.52,37.23,37.94,38.65,39.36,40.07,40.78,41.49,42.2,42.67,43.14,43.61,44.08,44.55,45.02,45.49,45.96,46.43,46.9,47.8214,48.7428,49.6642,50.5856,51.507,52.4284,53.3498,54.2712,55.1926,56.114,56.4,56.971000000000004,57.545,58.122,58.7
Cote d'Ivoire,31.156,31.156,31.156,31.156,12.04930333,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.156,31.384,31.858,32.371,32.921,33.51
Croatia,36.1,36.1,36.1,36.1,14.01809221,36.1,36.1,36.90503333,37.71006667,38.5151,39.32013333,40.12516667,40.9302,41.73523333,42.54026667,43.3453,44.15033333,44.95536667,45.7604,46.56543333,47.37046667,48.1755,48.98053333,49.78556667,50.5906,51.39563333,52.20066667,41.67247387,38.20557491,35.71428571,34.14634146,36.79442509,50.1,57.0,58.5,59.4,60.251000000000005,60.51,61.023999999999994,61.526,62.019,62.5
Cuba,36.076256,36.29048,36.5088,36.72712,23.81975534,37.163759999999996,37.38208,37.657696,37.933312,38.208928,38.484544,38.76016,39.307184,39.854208,40.401232,40.948256,41.49528,42.110528,42.725776,43.341024,43.956272,44.57152,45.151536,45.731552,46.311568,46.891584,47.4716,48.163472,48.855344,49.547216,50.239088,50.93096,52.389768,53.848576,55.307384,56.766192000000004,58.225,58.519,59.107,59.695,60.283,60.87
Cyprus,47.2176,47.464,47.56399999999999,47.663999999999994,26.15855782,47.864,47.964,48.06399999999999,48.163999999999994,48.263999999999996,48.364,48.464,48.464,48.464,48.464,48.464,48.464,48.464,48.464,48.464,48.464,48.464,48.464,48.464,49.29733333,50.13066667,50.964,51.79733333,52.63066667,53.464,55.23142857,56.99885714,58.76628571,60.53371429,62.30114286,64.06857143,65.836,66.066,66.518,66.956,67.378,67.786
Czech Rep.,46.56112,47.1232,47.68528,48.24736,35.74252339,49.371520000000004,49.9336,50.49568,51.057759999999995,51.61984,52.18192,52.744,53.30608,53.868159999999996,54.430240000000005,54.99231999999999,55.5544,55.96834286,56.38228571,56.79622857,57.21017143,57.62411429,58.03805714,58.452,58.91184615,59.22030769,59.0,58.7,56.8,52.0,46.9,44.9,58.0,62.0,63.0,64.0,64.43,65.25,66.87,67.56,68.05,68.97
Denmark,58.53,58.46,56.97,57.31,56.25,57.0,57.55,61.78,60.65,61.22,61.19,61.96,61.71,61.24,61.93,62.0,62.31,61.89,62.74,63.66,64.15,62.92,63.5,63.98,64.99,65.83,66.27,66.02,67.16,67.46,66.41,66.09,67.24,68.54,70.12,70.15,70.33,70.93,70.78,71.15,71.35,71.92
Djibouti,29.9,29.9,29.9,29.9,11.563556599999998,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,31.995,34.09,36.185,38.28,40.375,40.531,40.853,41.193999999999996,41.555,41.934
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,29.9,29.9,29.9,29.9,19.39195572,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,30.86073333,31.82146667,32.7822,33.74293333,34.70366667,35.6644,36.62513333,37.58586667,38.5466,39.50733333,40.46806667,41.4288,42.38953333,43.35026667,44.31100000000001,44.726000000000006,45.551,46.36600000000001,47.17100000000001,47.966
Ecuador,32.9,32.9,32.9,32.9,29.08412881,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,34.207,35.514,36.821,38.128,39.435,40.742,42.049,43.356,44.663000000000004,45.97,47.277,47.535,48.065,48.623999999999995,49.211000000000006,49.827
Egypt,33.0,33.0,33.0,33.0,25.25458091,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,30.7,30.6,35.4,32.5,31.0,32.3,31.5,33.2,31.3,34.5,34.8,36.0,34.4,35.7,30.5,29.8,33.4,32.3,34.4,36.1,36.2,36.7,38.466,39.188,40.579,41.865,43.045,44.122
El Salvador,28.7,28.7,28.7,28.7,25.37126131,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,29.42805,30.1561,30.88415,31.6122,32.34025,33.0683,33.79635,34.5244,35.25245,35.9805,36.70855,37.4366,38.16465,38.8927,39.62075,40.3488,41.07685,41.8049,42.53295,43.261,43.718,44.626999999999995,45.52,46.398,47.261
Equatorial Guinea,29.8,29.8,29.8,29.8,11.5248825,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,30.6164,31.4328,32.2492,33.0656,33.882,34.032,34.333,34.633,34.934,35.235
